id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8271025-B2,Device network technology selection and display in multi-technology wireless environments ,At&T Mobility Ii Llc,"Arthur Brisebois, Sharat Chander, Yung Choi-Grogan",10/20/2008,10/20/2008,9/18/2012,9/18/2012,https://patents.google.com/patent/US8271025B2/en,https://patentimages.storage.googleapis.com/68/6d/04/6c23f86955614a/US08271025-20120918-D00000.png
US-6311175-B1,System and method for generating performance models of complex information technology systems ,Perot Systems Corp.,"Pieter Willem Adriaans, Arno Jan Knobbe, Marc Gathier",3/6/1998,3/6/1998,10/30/2001,10/30/2001,https://patents.google.com/patent/US6311175B1/en,https://patentimages.storage.googleapis.com/66/52/41/9bc95e0765bc89/US06311175-20011030-D00000.png
US-5728098-A,Multi-angle bone screw assembly using shape-memory technology ,"Sdgi Holdings, Inc.","Michael C. Sherman, Troy Drewry",11/7/1996,11/7/1996,3/17/1998,3/17/1998,https://patents.google.com/patent/US5728098A/en,https://patentimages.storage.googleapis.com/pages/US5728098-1.png
US-6675149-B1,"Information technology project assessment method, system and program product ",International Business Machines Corporation,"Michael Ruffin, Joseph L. Temple, III, Carlos A. Ordonez, Eva L. Yan, Allen H. Preston, Timothy I. Morrison",11/2/1998,8/30/1999,1/6/2004,1/6/2004,https://patents.google.com/patent/US6675149B1/en,https://patentimages.storage.googleapis.com/bc/c7/21/94d979fc96340c/US06675149-20040106-D00000.png
US-6553263-B1,Implantable pulse generators using rechargeable zero-volt technology lithium-ion batteries ,"Advanced Bionics Corporation, Quallion, Llc","Paul M. Meadows, Carla M. Mann, Hisashi Tsukamoto, Joey Chen",7/30/1999,7/28/2000,4/22/2003,4/22/2003,https://patents.google.com/patent/US6553263B1/en,https://patentimages.storage.googleapis.com/e5/e8/8c/e673ecc8cad78a/US06553263-20030422-D00000.png
US-6748246-B1,Method and apparatus for selecting an access technology in a multi-mode terminal ,Telefonaktiebolaget Lm Ericsson (Publ),Anders Khullar,7/5/2000,9/29/2000,6/8/2004,6/8/2004,https://patents.google.com/patent/US6748246B1/en,https://patentimages.storage.googleapis.com/ad/f4/9d/d303b26e4e865e/US06748246-20040608-D00000.png
US-5880921-A,Monolithically integrated switched capacitor bank using micro electro mechanical system (MEMS) technology ,"Rockwell Science Center, Llc","J.L. Julian Tham, James L. Bartlett, Mau Chung F. Chang, O. Marcy 5th Henry, Deepak Mehrotra, Kenneth D. Pedrotti, David R. Pehlke, Charles W. Seabury, Jun J. Yao",4/28/1997,4/28/1997,3/9/1999,3/9/1999,https://patents.google.com/patent/US5880921A/en,https://patentimages.storage.googleapis.com/pages/US5880921-1.png
US-6643165-B2,Electromechanical memory having cell selection circuitry constructed with nanotube technology ,"Nantero, Inc.","Brent M. Segal, Darren K. Brock, Thomas Rueckes",7/25/2001,7/25/2001,11/4/2003,11/4/2003,https://patents.google.com/patent/US6643165B2/en,https://patentimages.storage.googleapis.com/22/b7/c8/0600f4ea78de7b/US06643165-20031104-D00000.png
US-6687036-B2,Multiplexed optical scanner technology ,"Nuonics, Inc.",Nabeel Agha Riza,11/3/2000,11/5/2001,2/3/2004,2/3/2004,https://patents.google.com/patent/US6687036B2/en,https://patentimages.storage.googleapis.com/24/7c/d6/7848771491b0f3/US06687036-20040203-D00000.png
US-6781826-B1,External disk drive compatible with a serial advanced technology attachment (SATA) standard including a SATA compatible shielded cable capable of receiving power signals from a host ,"Western Digital Technologies, Inc.","Marc B. Goldstone, Dalwinder Singh",12/24/2002,12/24/2002,8/24/2004,8/24/2004,https://patents.google.com/patent/US6781826B1/en,https://patentimages.storage.googleapis.com/c2/fc/30/05db0622c83095/US06781826-20040824-D00000.png
US-6469628-B1,System and method for using impulse radio technology in the farming field ,Time Domain Corporation,"James L. Richards, Larry W. Fullerton, Donald A. Kelly, David C. Meigs, Timothy T. Payment, James S. Finn, William J. Tucker, William D. Welch, Jr.",3/23/1998,11/10/2000,10/22/2002,10/22/2002,https://patents.google.com/patent/US6469628B1/en,https://patentimages.storage.googleapis.com/a6/68/ba/b7f57f61e96de2/US06469628-20021022-D00000.png
US-5410737-A,Frequency agile sharing technology (FAST) for a personal communications service system ,American Pcs L.P.,J. Barclay Jones,4/27/1992,4/27/1992,4/25/1995,4/25/1995,https://patents.google.com/patent/US5410737A/en,https://patentimages.storage.googleapis.com/pages/US5410737-1.png
US-5753529-A,Surface mount and flip chip technology for total integrated circuit isolation ,Siliconix Incorporated,"Mike F. Chang, King Owyang, Fwu-Iuan Hshieh, Yueh-Se Ho, Jowei Dun",5/5/1994,5/19/1995,5/19/1998,5/19/1998,https://patents.google.com/patent/US5753529A/en,https://patentimages.storage.googleapis.com/pages/US5753529-1.png
US-6097485-A,Microchip optical transport technology for use in a personal flow cytometer ,"Integrated Waveguides, Inc.",Bonnie A. Lievan,3/8/1999,3/8/1999,8/1/2000,8/1/2000,https://patents.google.com/patent/US6097485A/en,https://patentimages.storage.googleapis.com/pages/US6097485-1.png
US-7203356-B2,Subject segmentation and tracking using 3D sensing technology for video compression in multimedia applications ,"Canesta, Inc.","Salih Burak Gokturk, Abbas Rafii",4/11/2002,4/11/2003,4/10/2007,4/10/2007,https://patents.google.com/patent/US7203356B2/en,
US-6608551-B1,Low-cost radio replacement utilizing RFID technology ,Intermec Ip Corp,"James A. Anderson, Christopher A. Wiklof",9/13/1999,9/13/1999,8/19/2003,8/19/2003,https://patents.google.com/patent/US6608551B1/en,https://patentimages.storage.googleapis.com/73/d5/2d/912348c1ee3a7b/US06608551-20030819-D00000.png
US-6155331-A,Method for use in casting technology ,Eos Gmbh Electro Optical Systems,"Hans Langer, Christian Wilkening, Peter Keller, Florian Wendt",5/27/1994,5/24/1995,12/5/2000,12/5/2000,https://patents.google.com/patent/US6155331A/en,https://patentimages.storage.googleapis.com/pages/US6155331-2.png
US-5521835-A,Method for programming an FPLD using a library-based technology mapping algorithm ,"Xilinx, Inc.",Stephen M. Trimberger,3/27/1992,11/23/1994,5/28/1996,5/28/1996,https://patents.google.com/patent/US5521835A/en,https://patentimages.storage.googleapis.com/pages/US5521835-1.png
US-6982863-B2,Component formation via plating technology ,Avx Corporation,"John L. Galvagni, Jason MacNeal, Andrew P. Ritter, Heistand II Robert, Sriram Dattaguru",4/15/2002,4/8/2003,1/3/2006,1/3/2006,https://patents.google.com/patent/US6982863B2/en,https://patentimages.storage.googleapis.com/df/1d/8c/1c8d06ab8ea52b/US06982863-20060103-D00000.png
US-6569553-B1,Fuel processor with integrated fuel cell utilizing ceramic technology ,"Motorola, Inc.","Chowdary Ramesh Koripella, Christopher K. Dyer, Dominic Francis Gervasio, Stephen P. Rogers, David Wilcox, William Jay Ooms",8/28/2000,8/28/2000,5/27/2003,5/27/2003,https://patents.google.com/patent/US6569553B1/en,https://patentimages.storage.googleapis.com/a8/e2/ed/5c6b8f60d402ef/US06569553-20030527-D00000.png
US-6178430-B1,Automated information technology standards management system ,Mci Communication Corporation,"Edward L. Cohen, Burt Crockett, Claude A. Godfrey, Ann O. Haehn, Mary F. Kubicek, Anthony A. Main, Michael McIntyre, Mark D. Murtha",5/11/1998,5/11/1998,1/23/2001,1/23/2001,https://patents.google.com/patent/US6178430B1/en,https://patentimages.storage.googleapis.com/0e/a1/02/6a1dccff62bdcc/US06178430-20010123-D00000.png
US-6908330-B2,Storage peripheral having a robust serial advanced technology attachment (SATA) PCB connector ,"Western Digital Technologies, Inc.","William W. Garrett, Marc B. Goldstone, Dalwinder Singh, Colin W. Morgan, Mark A. Baskovich",11/15/2002,11/15/2002,6/21/2005,6/21/2005,https://patents.google.com/patent/US6908330B2/en,https://patentimages.storage.googleapis.com/fb/69/37/063cbca7515914/US06908330-20050621-D00000.png
US-6336262-B1,Process of forming a capacitor with multi-level interconnection technology ,International Business Machines Corporation,"Hormazdyar M. Dalal, Gene Joseph Gaudenzi, Rebecca Y. Gorrell, Mark A. Takacs, Kenneth J. Travis, Jr.",10/31/1996,4/30/1997,1/8/2002,1/8/2002,https://patents.google.com/patent/US6336262B1/en,https://patentimages.storage.googleapis.com/9c/c8/0a/3465735f809d5c/US06336262-20020108-D00000.png
US-5613001-A,Digital signature verification technology for smart credit card and internet applications ,Bakhoum; Ezzat G.,Ezzat G. Bakhoum,1/16/1996,1/16/1996,3/18/1997,3/18/1997,https://patents.google.com/patent/US5613001A/en,https://patentimages.storage.googleapis.com/pages/US5613001-1.png
US-6932698-B2,Treasure hunt game utilizing wireless communications devices and location positioning technology ,Peter Sprogis,Peter Sprogis,1/31/2002,1/31/2002,8/23/2005,8/23/2005,https://patents.google.com/patent/US6932698B2/en,https://patentimages.storage.googleapis.com/28/76/27/37c5f57da5bb15/US06932698-20050823-D00000.png
US-6077085-A,Technology assisted learning ,"Intellectual Reserve, Inc.","Kent Parry, C. Bret Elzinga",5/19/1998,5/19/1998,6/20/2000,6/20/2000,https://patents.google.com/patent/US6077085A/en,https://patentimages.storage.googleapis.com/pages/US6077085-1.png
